metric	value	direction	regression_threshold
schema_version	2	INFORMATIONAL	-
generation	after-refactor	INFORMATIONAL	-
modules	285	INFORMATIONAL	-
module_edges	797	LOWER	100
cycles	1	LOWER	0
ambiguous_owners	0	LOWER	0
ambiguous_state_owners	173	LOWER	0
high_fanout	0	LOWER	0
reasoning_firewall_candidates	2	LOWER	5
cross_subsystem_writes	0	LOWER	0
large_modules	12	LOWER	0
direct_state_writers	68	LOWER	1
benchmark_set_sha256	sha256:a55c74d465dbc23e7d7fc0fecf12ac9a85d37990b5e990e139fad2231ed72371	INFORMATIONAL	-
benchmark_queries	8	INFORMATIONAL	-
navigation_recall_percent	100.0	HIGHER	1
navigation_precision_percent	100.0	HIGHER	2
search_breadth_paths_per_query	1.0	LOWER	1
context_bytes_per_query	4869.25	LOWER	10%
architecture_debt_score	779	LOWER	0
status	REBUILD_CANDIDATE	INFORMATIONAL	-
